SWIR1,SWIR2,Blue,Green,Red,RedEdge1,RedEdge2,RedEdge3,NIR,NIR_Narrow,NDMI,NDVI,NDWI,Longitude,Latitude
2097,938,397,631,394,1088,3033,3844,3768,4258,0.28491050004959106,0.8106679320335388,-0.7131166458129883,107.29284615737478,11.640504198913378
1475,592,291,522,315,891,2768,3521,3724,3839,0.43258318305015564,0.8440207839012146,-0.7541215419769287,107.36929278805336,11.6880250774433
1580,662,278,485,278,885,2731,3496,3352,3836,0.3592863082885742,0.8468319773674011,-0.7471983432769775,107.32617365441563,11.656584042499118
1441,626,300,466,276,731,2152,2822,2928,3029,0.34035247564315796,0.8277153372764587,-0.7253977656364441,107.30982431624464,11.42113560653139
1561,700,294,430,284,780,2151,2612,2609,2978,0.25131893157958984,0.8036640286445618,-0.7170121669769287,107.38698959915051,11.47638199650474
1938,1169,348,592,708,1183,2265,2681,2614,3007,0.14850614964962006,0.5737507343292236,-0.6306924223899841,107.47089224668728,11.751446136502139
1823,825,338,514,328,906,2442,3044,3054,3434,0.25240927934646606,0.8060319423675537,-0.7118834257125854,107.27146625361274,11.401731996394409
1586,742,311,519,316,880,2332,2870,3144,3146,0.3293868899345398,0.8173410296440125,-0.7166256904602051,107.29527160864191,11.700960817534622
1910,870,306,520,377,863,2298,2926,3041,3338,0.22843870520591736,0.7794031500816345,-0.7079471945762634,107.36857413582607,11.675448663465627
1692,768,343,457,283,813,2601,3232,3005,3622,0.27954012155532837,0.8278588652610779,-0.7359907627105713,107.30694970733546,11.537826761938517
1622,708,236,402,236,725,2187,2836,2907,3125,0.28372707962989807,0.8498250246047974,-0.7570263147354126,107.48867888931285,11.723418699637609
1939,943,367,572,501,957,1933,2305,2546,2676,0.13534002006053925,0.6711519360542297,-0.6330981254577637,107.42534766178242,11.43865275457172
1695,786,322,526,305,864,2331,2862,3156,3206,0.3011750280857086,0.823750376701355,-0.7142857313156128,107.20184681909348,11.462637772657713
1436,571,249,460,242,775,2525,3168,3499,3474,0.4180344343185425,0.8706228137016296,-0.7676180601119995,107.51410121185343,11.78558211729868
2056,951,282,474,289,809,2402,3122,2909,3475,0.17180262506008148,0.8192620277404785,-0.7197753190994263,107.31871763755743,11.716501671949889
2017,873,430,604,391,1074,3157,3960,3735,4353,0.2986787259578705,0.8104701638221741,-0.7215948104858398,107.26194411160108,11.513392586210465
2339,1305,536,822,728,1362,2350,2729,2766,3100,0.08364348858594894,0.5832856297492981,-0.5418060421943665,107.34961968333114,11.476202333447917
1995,899,321,530,363,919,2571,3281,3184,3595,0.22958099842071533,0.7953199744224548,-0.7145934104919434,107.31422606113684,11.730245895796918
2270,1274,377,598,590,1022,2468,3081,3263,3448,0.17946864664554596,0.6937451362609863,-0.6902356743812561,107.4514886365503,11.743091804359826
1671,778,319,492,311,846,2290,2873,2690,3185,0.23366200923919678,0.792735755443573,-0.6907605528831482,107.28009008034029,11.409727002423072
2050,977,347,601,363,883,2336,2928,3290,3295,0.23220974206924438,0.8012592196464539,-0.6910820007324219,107.3591418253428,11.403528626962647
1637,761,321,507,331,864,2097,2572,2532,2908,0.2146797776222229,0.7687740325927734,-0.6663376092910767,107.43073755348713,11.479256605413923
1862,938,360,568,384,901,2095,2580,2641,2913,0.17299577593803406,0.7461156845092773,-0.6459956169128418,107.35689603713251,11.410715149235603
1788,846,244,416,247,845,2306,2813,3148,3128,0.2755267322063446,0.8544918894767761,-0.7665544152259827,107.38869639819035,11.70132014364827
2131,1151,448,692,526,1059,2128,2462,2636,2865,0.10593664646148682,0.6672991514205933,-0.5841346383094788,107.34117551966042,11.454373272043812
1896,831,354,553,366,941,2682,3346,3280,3747,0.2673879563808441,0.799232006072998,-0.7114531993865967,107.27011878068656,11.522645233636895
2001,939,365,553,398,872,2297,2940,3240,3342,0.23640526831150055,0.7811984419822693,-0.7084102034568787,107.196726421974,11.537287772768044
1749,819,336,582,345,907,2263,2810,3009,3166,0.26481714844703674,0.7942754626274109,-0.6758562922477722,107.3591418253428,11.435418819548891
2263,1053,367,590,394,1076,3113,3962,3891,4364,0.2645433843135834,0.8161026835441589,-0.7366659045219421,107.20660789009932,11.46066147903265
1556,1157,461,634,614,948,1432,1496,1512,1588,-0.01434159092605114,0.4223894774913788,-0.40913328528404236,107.33794158463759,11.480065089169631
1823,849,269,481,300,786,2276,2814,2790,3206,0.2096249759197235,0.8058252334594727,-0.7059003114700317,107.47241938267028,11.770939578167532
2220,1267,453,713,604,1086,2080,2400,2478,2681,0.05491698533296585,0.6080467104911804,-0.5531181693077087,107.34899086263226,11.474136208294443
1638,736,347,494,314,790,2186,2789,3074,3114,0.3047538101673126,0.8146399259567261,-0.7230941653251648,107.27694597684588,11.430478085486234
1571,676,204,395,229,742,2333,3111,3155,3404,0.33516716957092285,0.8646572232246399,-0.7774648070335388,107.51419104338184,11.756207207507972
2258,1028,398,633,385,1044,2713,3420,3285,3823,0.1852787286043167,0.7901907563209534,-0.6768759489059448,107.24945752915181,11.527765630756377
2155,958,414,571,343,950,2853,3695,3020,4023,0.16714975237846375,0.7960154414176941,-0.6819827556610107,107.31350740890954,11.478897279300275
1787,808,282,542,340,910,2198,2717,2780,3007,0.21742938458919525,0.7820512652397156,-0.6736905574798584,107.5244318376208,11.703835426443803
1711,790,268,475,259,788,2413,3000,3132,3335,0.2934131622314453,0.8472427129745483,-0.736623227596283,107.36866396735448,11.703116774216507
1858,817,433,612,350,905,2728,3466,3527,3907,0.3099350035190582,0.8194480538368225,-0.7042763829231262,107.24757106705516,11.374692706342412
1663,735,318,500,310,817,2293,2922,2971,3228,0.28226155042648315,0.8110332489013672,-0.7118985652923584,107.36219609730881,11.41098464382084
1838,892,394,584,434,967,2413,2967,3037,3310,0.24594871699810028,0.7499279975891113,-0.6774371862411499,107.38339633801404,11.421045775002979
1704,759,306,473,270,870,2547,3253,2889,3624,0.25800129771232605,0.8290598392486572,-0.7186198830604553,107.26993911762975,11.468566653532902
1767,741,308,539,282,954,2937,3785,3745,4141,0.35885339975357056,0.8599453568458557,-0.7483659982681274,107.40881866055462,11.698535366267498
1664,720,260,452,247,764,2429,3047,2954,3306,0.2793416976928711,0.8456732034683228,-0.7345860004425049,107.48445680747749,11.720184764614778
1464,600,310,446,272,703,2210,2911,2755,3241,0.30599668622016907,0.8202841281890869,-0.721337080001831,107.31153111528448,11.413499926616375
1498,617,234,425,247,818,2576,3295,3152,3630,0.35569891333580017,0.8546631336212158,-0.7623707056045532,107.52919290862664,11.786210937997563
1640,736,307,475,302,806,2489,3244,3276,3582,0.33279088139533997,0.8311905860900879,-0.7467342019081116,107.26607636190803,11.481053235982163
405,187,271,330,231,314,398,442,542,485,0.1446673721075058,0.40232858061790466,-0.2431192696094513,107.50502822748382,11.801841623941243
1939,855,353,596,357,945,2801,3694,3957,4008,0.34226593375205994,0.8344923257827759,-0.7381945848464966,107.51706565229102,11.713267736927058
1673,775,321,488,306,840,2186,2631,2720,2961,0.23833371698856354,0.7977527976036072,-0.6957606077194214,107.37396402753077,11.44089854278202
2074,943,378,610,417,1040,2791,3508,3371,3889,0.23820018768310547,0.779831051826477,-0.693544328212738,107.28961222235196,11.667184162851727
2047,889,393,626,363,918,2906,3634,4129,4019,0.3371114134788513,0.8383793234825134,-0.7366982102394104,107.3342584919727,11.74228332060412
2112,924,308,596,286,1083,3516,4329,4496,4783,0.36077481508255005,0.8803848028182983,-0.7659072875976562,107.32958725249527,11.715962682779416
652,349,353,490,481,615,661,728,346,857,-0.3066132366657257,-0.16324062645435333,0.17224881052970886,107.4327138471122,11.76537002340599
1745,757,263,456,269,788,2220,2878,2912,3156,0.2505905032157898,0.8308708071708679,-0.7292161583900452,107.33713310088189,11.69036069718201
1995,902,325,508,300,823,2374,3087,3001,3449,0.20136108994483948,0.8182368874549866,-0.7104588150978088,107.29248683126114,11.72808993911503
1809,769,337,554,327,931,2870,3685,3648,3956,0.3369983434677124,0.8354716897010803,-0.7363160252571106,107.25978815491919,11.439640901384251
2007,934,345,526,370,882,2323,2983,2939,3426,0.18843509256839752,0.7763674855232239,-0.6963924765586853,107.20166715603666,11.542498001415938
2460,1418,522,810,691,1256,2341,2708,3012,3072,0.10087719559669495,0.6267890930175781,-0.5761381387710571,107.33345000821699,11.466949686021486
1842,829,324,524,375,913,2271,2785,2930,3143,0.22799664735794067,0.7730711102485657,-0.6965836882591248,107.42480867261195,11.439820564441076
